stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\Leon\source\repos\JogoEmAllegro\x64\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.01015] added dtor for sub_bitmap 0000013FD1CC6AC0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01021] added dtor for sub_bitmap 0000013FD1CC64F0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01028] added dtor for sub_bitmap 0000013FD1CC6EA0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01035] added dtor for sub_bitmap 0000013FD1CC5190, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01042] added dtor for sub_bitmap 0000013FD1CC6110, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01048] added dtor for sub_bitmap 0000013FD1CC5380, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01055] added dtor for sub_bitmap 0000013FD1CC5570, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01061] added dtor for sub_bitmap 0000013FD1CC5B40, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01067] added dtor for sub_bitmap 0000013FD1CC5F20, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01072] added dtor for sub_bitmap 0000013FD1CC5D30, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01080] added dtor for sub_bitmap 0000013FD1CC68D0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01087] added dtor for sub_bitmap 0000013FD1CC5760, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01097] added dtor for sub_bitmap 0000013FD1CC9700, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01104] added dtor for sub_bitmap 0000013FD1CC9CD0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01111] added dtor for sub_bitmap 0000013FD1CC9130, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01120] added dtor for sub_bitmap 0000013FD1CC9320, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01126] added dtor for sub_bitmap 0000013FD1CC9510, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01134] added dtor for sub_bitmap 0000013FD1CC8590, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01143] added dtor for sub_bitmap 0000013FD1CC98F0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01151] added dtor for sub_bitmap 0000013FD1CC9AE0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01158] added dtor for sub_bitmap 0000013FD1CC9EC0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01165] added dtor for sub_bitmap 0000013FD1CC8D50, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01170] added dtor for sub_bitmap 0000013FD1CC81B0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01177] added dtor for sub_bitmap 0000013FD1CC83A0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01186] added dtor for sub_bitmap 0000013FD1CC8780, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01194] added dtor for sub_bitmap 0000013FD1CC8F40, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01200] added dtor for sub_bitmap 0000013FD1CC8970, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01208] added dtor for sub_bitmap 0000013FD1CC8B60, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01216] added dtor for sub_bitmap 0000013FD1CCC930, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01223] added dtor for sub_bitmap 0000013FD1CCB7C0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01232] added dtor for sub_bitmap 0000013FD1CCB5D0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01243] added dtor for sub_bitmap 0000013FD1CCB9B0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01250] added dtor for sub_bitmap 0000013FD1CCBBA0, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01258] added dtor for sub_bitmap 0000013FD1CCBD90, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01265] added dtor for sub_bitmap 0000013FD1CCBF80, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01273] added dtor for sub_bitmap 0000013FD1CCCD10, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01281] added dtor for sub_bitmap 0000013FD1CCC740, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01288] added dtor for sub_bitmap 0000013FD1CCC170, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01295] added dtor for sub_bitmap 0000013FD1CCC360, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01304] added dtor for sub_bitmap 0000013FD1CCCB20, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01314] added dtor for sub_bitmap 0000013FD1CCCF00, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01322] added dtor for sub_bitmap 0000013FD1CCC550, func 00007FFC8696118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.01329] added dtor for sub_bitmap 0000013FD1CCD0F0, func 00007FFC8696118B
